treat	speed	groupnum
c	27.8	1
c	14.5	1
c	39.1	1
c	3.2	1
c	58.8	1
c	55.5	1
c	25	1
c	5.4	1
c	19	1
c	30.6	1
c	15.1	1
c	3.6	1
c	28.4	1
c	15	1
c	2.2	1
c	14.2	1
c	44.2	1
c	25.7	1
c	11.2	1
c	46.8	1
c	36.9	1
c	54.1	1
c	10.2	1
c	2.5	1
c	13.8	1
c	43.5	1
c	13.8	1
c	39.7	1
c	6.4	1
c	4.8	1
t	44.4	2
t	26.1	2
t	50.4	2
t	23.3	2
t	39.5	2
t	51	2
t	48.1	2
t	47.2	2
t	40.3	2
t	37.4	2
t	36.8	2
t	21.7	2
t	35.7	2
t	32	2
t	40.4	2
t	12.8	2
t	5.6	2
t	44.3	2
t	52.9	2
t	38	2
t	2.6	2
t	44.6	2
t	45.5	2
t	29.1	2
t	18.7	2
t	7	2
t	43.8	2
t	28.3	2
t	36.9	2
t	51.6	2
